tid,seat_no,price,isBooked,date
535,65978,749,0,1998-05-13
473,77791,729,0,1950-05-26
812,85988,970,0,1982-10-22
841,35818,929,1,1935-02-01
401,76331,996,0,1981-03-02
719,68227,634,0,1946-06-25
958,8157,960,0,1939-11-22
464,24906,870,1,1961-08-09
431,33023,231,1,1987-01-11
381,21710,781,1,1922-10-10
602,75228,683,0,2014-08-23
544,36631,388,0,1961-10-07
315,86653,249,0,1965-05-03
632,89576,669,0,1963-12-12
820,55772,981,0,1925-03-04
846,75533,522,0,1952-02-29
102,90506,517,0,1946-08-18
596,26865,681,0,1911-04-23
632,47031,957,0,1971-09-14
390,19035,568,1,1960-02-03
423,22575,576,0,1945-04-20
703,17711,329,0,1976-05-11
915,87270,604,1,2009-10-10
132,32640,366,0,1960-09-30
358,63187,970,1,1958-12-29
357,31256,626,0,1910-08-08
289,5928,668,1,1932-06-29
348,78821,987,0,1933-08-03
408,1013,932,0,2015-04-08
544,53429,207,1,1929-01-31
265,29655,852,1,1987-05-18
389,37312,943,1,1943-02-17
940,6544,330,0,1914-01-08
785,9404,224,1,2011-08-13
504,39102,261,0,1966-07-30
480,60797,946,0,1915-01-16
785,23884,939,0,1910-06-25
662,80181,444,1,1935-12-30
296,41220,577,0,1950-09-27
209,62124,434,0,1988-07-15
945,79411,481,0,1979-06-22
512,44277,592,0,1992-06-21
721,66073,228,1,1955-08-31
141,29393,364,1,1923-11-03
164,67046,222,0,1946-01-22
509,73838,897,1,1919-07-08
115,18179,924,0,1941-12-13
577,88086,476,0,1920-07-15
340,74019,433,0,1972-09-20
138,83973,525,1,2013-07-13
497,28401,541,0,1958-08-29
748,23692,836,1,2018-10-15
409,67970,457,0,1901-09-23
107,87333,347,0,1985-09-02
705,9946,502,0,2010-04-05
222,43819,707,1,1927-07-30
978,46873,531,0,2000-12-19
750,88954,672,0,1929-08-14
744,28972,850,1,1954-12-20
512,75571,297,0,1934-08-02
313,61982,280,0,1912-10-25
955,49235,874,0,1993-06-06
641,51404,631,0,2001-09-28
553,8472,223,1,1929-10-26
475,89547,780,1,1920-01-18
104,21963,263,0,1926-02-24
522,87006,758,1,1923-10-28
894,88884,994,1,1906-09-20
966,61170,999,0,1930-12-10
756,60077,356,0,1924-03-30
163,63573,839,1,1975-06-28
518,15124,258,1,2011-05-24
633,67774,748,0,1984-09-21
256,22648,614,1,1982-11-16
750,56308,711,0,1962-12-16
368,2529,989,0,1975-02-19
189,10125,692,1,1962-04-07
369,67227,976,1,2013-06-28
788,1173,838,1,2012-07-29
194,37686,949,1,1969-10-19
171,48637,651,1,1979-10-17
941,35091,466,1,1913-08-25
373,30701,947,0,1976-08-31
646,35797,413,0,2005-10-05
544,10619,864,1,1903-08-21
235,43892,732,1,1982-04-26
718,43908,707,0,1927-06-30
103,58640,418,1,2009-02-28
449,36151,909,1,1971-02-18
803,90638,680,0,1937-04-04
781,67527,944,1,2001-08-16
731,20191,214,1,1955-09-14
124,27466,800,0,1953-01-24
681,90757,456,1,2001-04-02
557,12832,596,1,1925-08-18
307,39051,888,1,1922-09-10
805,38002,947,1,1918-10-14
451,54341,891,1,1908-04-08
730,62638,635,0,2010-03-03
719,7032,232,0,1920-06-16
622,86579,614,0,1958-11-15
629,80876,834,1,1946-06-08
939,45093,333,1,1902-10-12
820,49871,731,0,1930-04-14
813,58638,355,0,1907-02-04
117,18374,311,1,1945-12-19
673,94214,600,1,1960-06-16
303,76589,673,0,1983-08-01
675,22213,704,1,1964-08-14
157,55136,755,1,1971-03-09
876,12981,772,1,1967-06-13
140,17054,913,1,1912-10-21
874,66329,819,0,1921-05-18
142,99925,200,0,1919-05-24
873,99265,814,1,2015-04-14
587,33656,285,1,1960-05-03
338,23937,250,1,1959-11-11
792,19080,900,0,1934-06-18
909,17074,971,0,1979-05-16
979,40533,477,1,1977-06-10
246,41016,551,1,2002-11-15
375,87953,488,1,1931-06-21
136,89006,611,1,1959-07-02
395,29380,895,0,2018-08-12
500,61658,297,1,1989-07-20
991,86714,856,0,1941-12-13
363,10753,539,1,1956-12-27
472,76063,317,1,1971-02-25
919,72151,837,0,1971-02-05
956,7710,948,0,1921-11-08
745,37985,367,0,1924-11-01
541,37597,564,0,1989-01-15
251,34619,787,1,1926-04-17
528,61487,290,0,1946-05-10
273,12141,757,0,1980-04-25
980,48242,265,0,1903-01-22
729,30235,781,1,1930-05-23
199,90477,820,1,1905-03-30
805,63724,407,1,1919-02-25
759,90330,236,0,1987-07-30
468,13940,497,0,1980-11-29
832,46635,753,0,1900-02-24
130,43395,932,1,1902-11-13
107,23209,878,1,1992-11-14
195,62823,380,0,1964-09-04
296,52875,299,1,1959-02-05
955,72729,671,0,1937-06-22
148,41297,385,1,1976-05-06
1000,21025,950,1,1955-10-26
797,58249,469,1,1963-07-03
146,18953,229,1,2016-09-03
468,80568,629,0,1946-10-31
721,2456,724,0,1976-01-30
220,16648,862,1,1943-05-28
859,60200,830,1,1957-12-16
953,86042,684,1,1994-06-06
357,76156,942,1,1905-03-26
100,25741,673,1,1971-11-03
332,49255,298,0,1984-11-05
129,92707,898,1,1962-10-12
606,65032,808,0,2016-08-21
595,30860,431,1,1987-09-22
994,52860,613,0,1999-11-12
335,24228,692,1,1915-05-04
490,46433,866,1,2009-03-02
427,48251,851,1,1984-02-23
697,59706,729,1,1986-05-15
693,84859,393,1,1989-11-19
825,95115,450,0,2008-02-28
252,51303,387,0,1927-04-03
447,40326,296,1,2014-12-05
159,59540,682,0,1924-03-29
781,43462,484,1,1918-01-10
527,55693,869,0,1970-08-26
543,24927,315,0,2014-09-19
671,32335,527,1,1964-01-23
753,87704,423,0,1960-08-11
663,41620,291,1,1957-01-27
793,29767,207,0,2018-10-18
878,72011,897,0,1988-08-10
861,10895,756,0,1924-09-01
754,99861,591,0,1974-05-14
399,16088,208,0,2016-12-02
757,24430,637,1,1934-12-22
309,21411,814,1,1970-09-06
441,36470,778,0,1907-12-23
853,79612,804,1,2014-09-10
358,77086,210,0,1986-03-31
216,32029,201,1,1937-02-20
469,85968,788,1,1949-08-26
989,32683,876,1,1974-12-13
872,18930,310,1,1934-06-05
262,45952,786,1,2012-05-15
112,49000,872,0,1926-11-16
316,95315,731,0,1910-12-06
409,73694,381,1,1935-12-09
575,17999,766,0,1947-02-18
609,39337,620,0,1922-02-11
301,79992,914,1,1960-12-21
485,75806,851,0,1981-03-28
307,83088,271,1,1909-07-15
466,74572,870,0,1938-06-13
781,70308,985,0,1943-03-13
280,721,673,0,1984-04-26
799,1883,521,0,2011-11-29
295,9867,871,1,2017-06-05
818,18146,511,1,1900-09-08
738,4644,309,0,1973-02-03
444,53259,481,0,2008-09-04
832,68822,651,0,1912-09-25
456,56968,676,0,2003-11-12
568,95485,686,1,1986-07-08
190,32318,487,0,1984-10-13
286,10230,602,1,2015-10-07
767,69117,999,0,1946-10-12
510,59971,777,1,1950-09-11
438,58737,579,1,1990-08-19
778,2179,896,0,1984-02-08
759,49539,308,0,1951-10-09
535,45254,563,1,1962-04-24
660,815,660,0,1926-04-27
393,53274,756,1,2018-09-12
121,84908,445,0,1918-03-16
932,34170,456,1,1927-01-18
682,2785,722,0,1925-09-26
359,3728,581,1,1963-06-13
281,27644,332,1,1919-05-10
777,3340,348,0,1980-01-01
717,40312,835,1,1932-11-03
525,85310,207,1,1969-12-19
829,85,687,1,1946-06-06
776,79639,340,0,1937-12-22
676,30259,745,0,2015-06-29
825,10174,522,0,1933-12-23
106,1918,926,0,1963-07-23
629,90649,781,0,1924-06-24
694,87234,776,1,2017-07-26
735,23128,548,1,1928-04-24
425,23934,369,0,1943-08-12
690,88876,580,0,1921-10-31
662,63860,930,0,1976-06-23
294,24876,463,0,1906-03-10
919,36496,951,1,1939-04-22
692,12972,923,0,1927-03-16
336,1127,524,1,1914-03-17
595,83607,473,0,2011-03-30
845,6853,851,0,1941-11-19
576,9729,733,1,1968-02-13
569,88856,957,1,1946-03-24
898,33231,440,1,1900-01-18
571,626,589,1,1983-09-01
570,3148,211,1,1901-09-10
745,57072,612,0,1956-01-10
674,96989,697,1,2004-07-22
881,13890,703,0,1941-07-15
346,31621,663,1,1912-07-16
578,29442,662,0,1924-06-27
236,51496,485,0,1970-02-10
839,63483,979,0,1997-09-26
892,61743,988,0,2006-03-24
595,32242,485,0,1979-05-23
408,60986,690,0,2000-08-09
927,86892,810,1,1999-07-06
557,91103,779,0,1936-03-15
252,89254,788,1,1959-08-05
386,90190,790,1,2016-06-26
944,39615,458,1,2002-03-13
792,27167,826,1,1968-09-11
812,3282,407,1,1902-03-20
151,92144,379,1,1904-01-05
748,33543,819,0,1955-04-19
890,41121,919,0,1943-07-30
304,6243,600,0,1913-07-02
642,82392,452,1,1956-05-28
408,6902,702,0,1960-12-31
395,54443,658,0,1971-03-14
924,60017,947,1,1945-03-19
144,84333,985,1,2015-06-12
824,19448,768,1,1997-02-13
559,2462,855,0,1968-12-07
692,45135,647,0,1962-05-05
539,77655,980,1,1936-04-21
537,83590,321,0,1991-01-14
512,872,505,1,1935-06-09
746,44545,384,1,1937-05-03
133,58934,699,1,1942-09-05
653,14263,675,1,2019-03-28
789,41749,669,1,1902-08-27
438,17085,960,1,1953-12-11
208,35478,274,1,1951-04-20
866,77798,441,0,1907-04-02
709,75345,543,0,2001-11-08
266,57849,608,0,1942-12-17
731,47948,302,1,1989-05-12
952,84381,594,1,1911-09-27
221,99399,530,1,1962-09-03
262,45770,927,1,1981-06-26
589,27650,832,0,1993-12-31
471,6527,776,0,1977-01-09
421,83868,580,0,1958-10-25
867,94994,745,0,1975-07-06
170,46748,910,0,1975-12-27
137,21922,736,0,2013-05-13
479,19515,261,0,1948-07-28
724,86130,479,1,1904-07-27
775,70537,817,1,1960-12-14
334,90263,596,0,1919-09-06
240,43484,819,1,1965-04-11
200,66644,767,1,1978-09-25
449,92423,827,1,1933-10-19
420,78722,972,0,1974-04-02
104,3383,766,0,1910-04-24
726,88718,547,0,1940-05-23
757,78621,537,0,1966-02-25
557,48756,918,0,1916-07-17
943,42013,916,0,1942-04-14
865,61814,477,1,2014-08-28
653,68309,248,0,1978-08-16
842,60100,714,0,1984-04-05
367,97050,744,0,1971-02-13
928,61772,763,1,1984-05-27
783,97378,804,0,1996-01-25
506,12772,765,0,2007-01-14
209,20464,383,1,1944-12-15
783,98988,600,0,1902-08-28
783,43067,660,0,1926-06-25
949,92918,202,1,2014-07-04
598,57512,778,1,2006-03-03
386,82147,318,1,1973-02-16
462,92340,248,0,2006-12-23
550,47411,361,1,1982-08-08
466,43895,379,1,1945-07-07
108,98761,666,0,1985-01-25
676,24278,351,0,1922-06-07
912,34829,532,1,1927-11-14
747,90822,921,0,2014-05-26
806,46495,212,0,1923-11-02
318,89392,510,1,1921-09-16
381,94846,474,1,1998-06-21
462,65238,877,0,1966-05-11
952,8268,919,1,1999-06-12
921,41094,349,0,2007-10-13
804,44998,229,1,1921-06-16
864,15634,720,0,1958-12-29
155,54423,603,1,1961-07-29
924,50238,847,1,1964-02-10
187,43282,788,0,1957-06-15
777,40813,620,1,2010-12-10
505,4439,312,1,1930-09-01
701,70442,604,1,1904-11-26
828,45131,934,0,1918-08-01
747,23340,536,0,1949-01-09
897,4151,353,0,1983-12-23
586,74799,306,1,1966-01-07
885,8699,770,1,1974-07-22
241,93456,282,1,2007-01-16
680,69468,990,0,2000-03-12
536,20874,662,0,1923-11-02
651,75288,573,1,1909-05-24
172,93548,469,1,1970-01-01
347,80814,365,1,1949-06-07
785,58555,779,0,1989-12-20
181,50043,975,0,2018-11-17
646,42702,276,0,1923-03-01
255,73946,447,0,1960-07-25
468,66867,753,0,1910-08-14
614,19179,328,0,1939-03-26
279,73475,449,1,1924-01-09
924,96434,327,0,1949-12-20
408,99834,486,1,1921-11-09
139,90156,795,1,1927-01-07
813,16917,797,0,1968-05-30
203,51559,965,1,1935-01-16
497,78870,756,0,1971-12-25
286,83691,702,0,1980-08-17
696,14523,735,1,1912-01-19
421,72846,890,1,1993-04-04
255,34585,439,1,1963-05-11
365,8998,719,0,2019-04-13
366,87124,595,1,1917-12-30
678,11806,562,1,1964-05-08
657,4396,470,0,1934-04-02
592,59773,895,1,2005-04-15
738,45792,459,1,2019-05-18
919,76644,966,0,1969-03-15
209,24237,990,0,1961-10-22
987,3066,358,0,1906-06-26
352,14223,944,1,1976-07-19
999,7484,263,1,1992-03-04
680,14540,745,0,1908-07-05
500,76108,938,1,1934-04-11
891,8449,512,0,1961-05-11
474,37897,948,1,2014-01-20
597,26055,942,0,1984-12-31
357,43889,974,1,1903-11-05
672,75081,874,1,1972-08-16
268,75579,739,1,1977-02-23
161,34751,815,1,1995-05-27
330,40836,253,1,1970-04-14
399,80728,807,1,1944-10-25
205,14010,220,1,1910-02-03
615,33893,895,0,1944-10-29
550,77460,615,0,1996-08-02
452,70982,604,1,1977-05-30
637,76110,776,1,1902-07-28
928,73085,665,0,1993-01-03
615,24837,219,1,1947-05-22
216,27351,810,0,1977-01-22
774,68413,805,0,1926-12-29
352,78422,405,0,1986-01-21
554,55990,922,0,1982-01-31
814,70401,501,0,1965-01-27
638,36683,575,0,1917-09-25
874,7794,927,1,2012-09-27
575,18324,684,0,1907-12-09
810,27199,298,1,1902-02-26
613,17974,934,0,1947-04-15
333,67288,913,0,1931-07-05
215,39018,388,1,2006-01-10
676,7021,581,1,2012-10-23
582,7609,495,1,1980-04-23
848,38841,713,1,1935-01-26
368,50466,659,1,1924-05-09
257,91790,458,0,1983-10-15
792,56298,780,0,1943-03-18
545,96353,594,0,1913-06-06
452,96430,725,1,1985-01-21
536,3862,886,0,1917-05-22
475,81733,394,1,1982-09-13
787,59463,659,1,2008-07-17
977,7230,299,1,1945-12-02
134,7430,670,0,1999-11-21
744,50140,812,1,1905-08-26
305,19643,846,0,1975-01-20
127,9298,542,1,1938-09-24
910,81494,912,0,1989-04-21
433,20914,253,0,1997-10-01
548,97383,643,0,1968-03-17
770,2672,828,1,1963-03-23
662,68447,531,1,1932-09-17
371,50744,738,1,1983-12-26
939,41586,352,0,1905-03-12
752,96629,580,1,1941-03-16
570,14345,962,1,1947-07-07
177,38316,430,0,1945-10-01
966,92070,287,0,2014-06-11
762,21608,416,0,1945-12-24
925,64727,834,0,1987-03-23
339,48765,888,0,1952-11-23
550,31850,795,0,1932-10-29
823,92419,374,0,1999-10-25
141,65156,517,0,1966-06-01
509,7564,665,1,2017-06-16
806,95239,337,0,1962-09-23
454,1611,847,0,2006-12-30
999,23715,372,0,2006-04-08
701,44512,764,0,1979-07-27
429,83775,476,1,1936-04-27
744,905,505,0,1915-01-21
806,6802,408,1,1940-07-20
552,67547,330,1,1946-10-02
261,66850,675,0,2019-11-01
698,11296,280,0,1953-11-28
687,29954,975,1,1970-01-18
814,70716,444,0,1938-10-01
873,96482,622,1,1943-10-02
917,7582,380,1,2014-03-12
663,67674,280,0,2016-09-14
637,78174,833,1,1963-02-08
408,67148,462,0,1981-06-18
303,46538,385,0,1991-04-20
494,97350,405,1,2005-09-19
401,43089,308,0,2014-05-30
111,28270,687,0,1942-01-29
311,95258,263,1,1917-12-14
432,42305,708,0,1922-03-20
409,55364,795,0,1999-05-10
796,68113,218,0,1930-12-24
412,40327,297,1,1901-04-09
956,28860,538,1,2003-10-17
520,13716,577,0,1948-01-10
142,2441,493,0,2003-11-26
623,44661,487,1,1925-12-20
130,40679,595,1,1954-10-03
634,49356,474,0,1940-07-07
770,3165,516,0,1966-06-10
647,37972,624,0,1916-09-24
766,55695,614,1,1996-02-08
667,25539,650,1,2004-04-16
888,6617,486,0,1908-01-15
935,42392,744,0,1922-08-15
530,83510,283,0,1928-11-28
411,5443,282,1,1918-02-12
298,9519,546,0,1982-02-01
794,63903,799,0,1931-12-28
588,76311,400,0,2000-08-16
247,15740,903,1,1999-10-06
429,25624,356,1,2001-09-03
887,34975,567,0,2007-08-01
224,16946,227,0,1901-12-03
833,26488,296,0,2003-02-01
672,45826,897,1,1991-07-11
367,95499,226,1,1996-02-29
132,87128,802,0,1907-12-12
757,45196,492,1,1969-08-01
887,7027,829,0,1938-02-22
335,14839,465,1,1905-02-11
183,579,292,0,1922-06-06
869,78166,305,1,1906-06-30
509,31935,558,0,1918-03-17
837,156,302,0,1926-12-31
564,66804,553,0,2019-10-18
456,96857,368,1,1915-08-19
445,37351,243,1,1929-02-02
656,98811,771,0,1975-09-23
126,77477,253,0,1910-06-11
661,48175,213,1,1996-11-16
728,7962,802,0,1976-01-18
356,1514,803,0,1988-12-31
545,31410,751,0,1918-09-27
867,84697,485,1,1905-04-04
188,95176,853,0,1924-05-05
788,84224,630,0,1912-06-15
480,90391,800,0,1917-04-05
107,80750,743,1,1970-08-25
329,89485,461,0,1949-06-09
289,60929,834,1,1993-12-06
486,95773,980,0,2019-03-22
667,4658,550,0,1967-02-22
900,29916,854,0,1956-05-08
255,10748,737,1,1934-07-15
212,91874,264,0,1911-05-11
912,72958,487,1,1998-08-29
942,21847,222,0,1993-04-30
676,52781,508,1,2003-08-17
512,75286,217,1,1976-10-06
740,67953,273,0,1916-01-28
482,77046,607,0,1962-05-29
942,94198,221,1,2019-06-23
814,99996,245,1,1949-04-26
471,93279,624,0,1970-09-02
945,99632,686,0,1955-05-21
524,88122,788,1,1906-06-15
995,86483,852,0,1970-06-17
837,91130,857,1,1970-01-29
889,64350,683,1,1927-02-02
388,6807,826,0,1924-01-04
993,98268,419,1,1933-02-01
172,34393,393,0,1961-07-15
711,75879,851,0,1910-01-18
748,81420,218,1,2007-10-27
246,56362,274,0,1961-02-21
546,18576,230,0,1994-02-16
607,48458,848,0,1983-12-30
110,72852,618,1,1921-04-01
991,17383,568,0,1985-04-13
625,90540,446,1,2008-01-20
527,11416,775,1,1937-06-14
174,71261,873,0,1912-11-03
117,77471,769,0,1912-01-09
722,68346,584,0,1958-05-19
438,35103,978,0,1974-03-12
316,74078,277,1,1911-12-30
664,37629,946,0,1979-11-25
490,4590,933,0,1927-05-22
185,77761,365,1,1953-11-16
656,79003,727,1,1962-09-12
390,21569,370,1,2010-10-28
367,85666,770,1,2009-04-30
609,57579,617,0,2010-12-31
275,18840,866,0,2014-07-25
824,90930,805,0,2016-01-25
575,20092,208,1,1982-06-28
171,52783,708,1,1977-11-06
163,13799,252,0,1973-09-29
456,82941,309,1,1925-07-11
265,84784,732,1,1995-07-25
637,1025,332,0,1916-09-10
287,68940,748,0,1949-01-02
550,71797,526,0,1907-02-19
478,23150,774,0,1965-07-03
318,80293,256,0,1988-07-18
631,79813,507,1,1960-01-03
165,94345,504,1,1966-08-11
181,69723,363,1,1972-08-24
541,92221,866,1,1957-01-05
123,49534,306,1,1908-12-06
251,17951,243,0,1977-03-28
761,74613,232,1,1956-03-29
133,89664,685,0,1976-01-10
771,81145,542,1,1943-07-23
699,6952,840,0,1906-12-11
798,29145,498,0,1999-09-01
108,91234,493,0,1906-11-27
179,71972,894,1,1971-09-08
727,62191,812,1,1990-10-19
925,32292,691,0,1900-04-08
740,55536,806,0,1994-01-11
554,98483,615,1,1932-08-19
984,63803,630,0,1909-01-13
936,13895,800,0,1975-01-15
821,11415,287,1,1949-05-21
676,83075,295,0,1975-05-14
185,39842,546,1,2000-12-04
552,93612,926,0,1996-11-13
159,76989,466,0,1985-06-17
901,450,428,0,2002-07-01
244,75830,329,0,1923-01-27
205,63429,320,1,1973-07-03
198,36680,826,0,1935-12-27
688,29324,802,1,1910-07-25
866,27545,612,0,1905-03-13
855,97874,723,0,1981-09-12
876,90834,522,1,1902-03-28
474,99002,539,1,1974-05-29
517,25133,665,1,1919-12-01
431,32549,458,0,2002-12-22
196,32472,956,1,1983-09-03
624,38558,792,0,1924-02-02
115,66291,658,1,1932-10-28
945,61493,933,0,1924-03-25
690,65297,490,1,1934-10-12
428,48988,831,0,1934-10-14
972,83907,264,1,1988-04-28
234,17811,629,0,1968-01-26
977,53658,734,0,1995-04-24
315,4842,447,0,1979-01-19
694,99620,249,1,1989-12-09
825,94524,266,1,1924-10-30
331,72075,735,1,2005-02-11
544,92638,830,1,1974-02-14
829,45807,895,0,1915-02-17
967,82714,731,0,2008-07-14
520,97847,723,1,1969-04-04
453,65367,715,0,1913-06-09
653,9290,458,0,2005-11-17
269,41169,672,0,1933-09-24
272,11823,958,1,2003-06-07
849,54533,971,1,1970-09-29
638,26600,552,1,1900-10-28
357,69997,723,0,1918-11-22
901,92246,215,1,1938-07-26
562,2783,331,0,1961-09-03
927,37807,362,1,1961-08-22
252,48698,826,1,1941-12-09
505,34264,635,0,2008-11-12
222,30142,714,0,1933-03-26
399,21926,592,1,1908-06-17
767,70131,907,0,2019-04-28
296,35170,376,0,1981-12-05
845,13893,214,0,1999-08-08
318,50638,868,0,1904-02-21
460,29118,216,0,2013-02-18
376,20990,519,1,2007-11-19
206,47844,508,1,1987-09-30
816,23130,256,0,1992-04-16
694,39641,283,0,1977-02-12
216,62879,468,0,1997-12-23
781,77903,694,0,1973-11-07
556,99544,403,0,1944-10-11
820,61908,771,0,1930-12-12
934,21055,586,1,1936-02-07
783,11429,408,1,1924-12-08
326,42239,547,1,1968-03-30
424,36911,920,1,1981-11-02
362,48356,647,0,2009-12-09
772,72865,290,1,1910-10-19
783,37868,744,1,2011-02-24
816,47006,336,0,2002-09-22
975,210,640,0,2018-12-15
934,11399,699,1,1955-01-08
628,31104,581,1,1934-09-18
781,94676,325,0,1916-09-01
529,22830,709,0,1923-01-14
585,51967,861,0,2012-10-05
352,96367,648,0,1941-10-01
801,15026,683,0,1956-08-31
203,75045,384,0,1969-08-07
196,72650,913,1,2016-02-07
660,65438,890,0,1973-04-15
752,1257,285,1,1966-06-22
283,26764,777,1,2011-02-06
429,47834,840,1,1901-08-11
434,49497,216,0,2005-01-01
869,8716,790,1,1921-09-30
359,2662,476,0,1979-04-06
767,55157,825,0,1903-11-02
644,38381,230,0,1917-03-24
798,83074,656,0,1927-01-27
944,41471,547,0,1936-08-07
553,51920,408,0,1960-01-06
703,48349,369,1,1945-04-02
624,91254,502,0,2011-09-27
710,72445,716,0,1935-11-17
623,33904,567,1,1919-07-30
846,38025,546,0,1941-06-28
827,51135,503,0,1958-03-04
301,31041,390,0,1927-05-08
772,75512,418,0,1977-03-01
296,97405,568,0,1989-11-10
668,51025,280,1,1910-09-17
921,73334,280,0,1953-07-11
230,60918,393,1,1908-01-08
922,61373,892,1,1929-06-09
111,3448,245,0,2009-07-06
519,57812,979,1,1910-12-21
393,54288,669,1,1933-01-29
650,42707,552,1,1973-12-02
838,82760,798,1,1905-06-28
936,70966,448,1,2016-12-11
618,3072,639,1,1950-10-21
497,31914,878,1,1985-06-07
583,88355,511,0,1951-01-29
239,82916,639,0,1973-06-30
698,6252,822,0,1923-10-14
701,38826,965,0,1996-04-10
986,44877,799,0,1914-07-17
796,94878,888,0,1934-05-24
242,6701,675,0,1933-12-06
412,81197,310,1,1997-03-03
379,64281,582,0,1957-06-12
771,88810,213,1,1929-02-19
506,9571,734,1,1972-01-19
567,88850,245,1,1935-11-15
108,41064,987,0,1951-11-01
326,11733,739,1,1999-09-13
300,82263,594,1,1974-06-10
381,34222,930,1,2016-07-27
976,9813,531,0,1946-10-07
530,21502,216,1,2019-01-24
333,63077,1000,0,1958-08-07
517,87240,215,0,1934-02-03
382,93906,427,0,2007-04-22
297,25989,384,0,1953-04-26
923,34559,504,1,1997-01-13
910,50597,430,1,1902-08-29
500,70426,600,0,1981-04-12
645,73537,318,0,1954-04-14
227,2960,244,1,2016-06-17
947,42835,563,1,1947-01-10
486,12140,774,1,1949-03-24
350,43893,704,1,1969-02-28
768,62734,509,1,1991-06-13
707,26034,390,0,1968-07-26
132,78451,218,1,1904-09-06
540,96349,877,0,1963-03-10
739,27108,285,0,2006-07-20
427,79001,508,1,1902-11-29
128,5370,459,0,1978-06-28
495,24984,600,0,1921-06-02
498,24382,338,1,1911-05-28
407,16875,210,0,1951-11-01
173,93309,293,0,1933-01-20
413,75417,969,0,1923-02-05
461,2024,408,0,2009-11-19
317,14623,312,1,1939-05-31
799,83198,484,0,1940-07-01
306,34910,524,1,1969-09-28
384,66532,503,1,2013-11-05
136,28655,944,1,1978-04-14
779,68607,627,0,1911-12-14
942,50087,671,0,1905-05-02
854,2181,529,0,1901-05-29
757,20072,343,1,2016-09-24
995,49153,220,1,2003-01-01
410,4730,500,1,1985-06-07
262,9139,404,0,2011-08-12
593,28007,695,1,1983-10-14
962,77131,458,1,2002-07-12
846,91327,661,1,1998-10-24
824,58163,877,1,1950-05-01
819,16038,396,1,2019-03-26
993,88979,435,1,1920-10-12
169,6736,622,1,1996-09-18
411,41360,878,0,1994-02-19
208,32518,521,0,1927-04-16
596,89431,551,0,1993-11-17
771,68099,660,1,1960-01-07
705,85784,681,1,1900-06-04
490,69453,204,0,1908-09-23
349,9377,763,0,2000-09-28
338,28610,862,1,1932-03-20
624,34592,253,1,1943-07-29
687,42798,309,1,1916-06-18
441,29069,569,1,1928-01-19
137,49947,930,1,1963-11-05
302,27662,815,0,2019-07-24
751,44482,736,1,1934-08-30
230,79160,216,1,1931-01-19
200,6744,867,1,1957-09-05
337,43591,798,1,2004-11-17
565,69352,268,1,1959-10-21
718,26892,469,0,1979-10-03
696,72320,401,0,1951-07-30
864,47714,560,0,1931-06-04
610,27985,230,0,1958-10-06
858,98375,610,0,1962-02-15
931,83483,251,1,1958-09-14
519,28670,325,1,1975-06-08
916,75432,363,1,1983-03-17
428,68235,536,1,1988-03-24
764,96317,417,1,1995-07-01
434,58603,254,0,1986-12-11
407,263,871,0,1954-05-02
496,64072,873,0,1943-01-11
703,56966,678,0,1995-06-30
776,58506,536,1,1931-12-06
